Planta;Operação;Remetente;CNPJ Rem;Cidade Rem;UF Rem;CTRC;DT Emissao CTRC;Nota Fiscal;DT Emissão NF;Qtde Volume;Vlr Mercadoria;Destinatário;CNPJ Dest;Cidade Dest;UF Dest;Tipo Agente;Agente;Dt Inicio Transporte;Agente Resumido;Prev. Entrega;Previsão Atualizada;Previsão Transportador;Condição especial;Cliente Agendado;Tipo Agenda;Cliente Premier;Site/Email/Tel;Acesso/Nome Resp;Data Agenda;Status Agenda;Ocorre Agenda;Data Entrega PR;Data Saida PR;Data Entrega DDA;Data Saida DDA;Data Entrega FINAL;Previsão Agente;Localização;Ocorrência;Detalhamento Ocorre;Resp Ocorre Int;Ocorrência Interna;Data Retorno Planta;Resp Atraso;Motivo Atraso;Ordem Status HUB;Status HUB;Performance Entrega CEVA;Performance Nova Previsão;Status Entrega;Região;Modal;Performance Entrega Agente;Teste1;Teste2;Status XD;Aging;Teste5;Status Congelado;Previsão Congelada;Ocorrência Base Congelada;Status Entrega x Agenda;Lead Time;Chave lead Time;Agente Entrega;Critico;Fil Origem Alfa;Peso Bruto;Peso Liquido;Email;Chave;Meta Operação;Desti Resumido;Status Resumido Agenda;Aging Processo Em Aberto;Status Agenda Resumido 2;Dt Corte;Filial;Data Entrega Final (Tratado);DT Emissão CTRC (Tratado);Performance Entrega CEVA + Transferência
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;106244;31/07/2026;861247;29/07/2026;2;866,84;PMZ DISTRIBUIDORA S.A;2,28E+13;BOA VISTA;RR;Agregado;DENILSON TAVARES;31/07/2026;XD DDA;01/09/2026;19/08/2026;;;Não;;;;;;;;;;;;19/08/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORTE;RODOVIARIO;Entregue no Prazo;#N/D;2276350200;;> de 7 Dias;;;;;;22;VALINHOSRODOVIARIO LTLBOA VISTA;NORTEX;;;;;nce11@carvalima.com.br;1,06245E+11;0,96;PMZ;Pendente;> de 20 Dias;Pendente Agenda;=> 01/03; Ponta Grossa;19/08/2026;31/07/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;112430;19/08/2026;875383;14/08/2026;4;2438,3;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;SAO LUIS;MA;Agregado;TERMACO TERM. M. CONT. SERV ACESS. LTDA;19/08/2026;TERMACO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORDESTE;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;8;VALINHOSRODOVIARIO LTLSAO LUIS;TERMACO;;;;;victoria.franca@termaco.com.br;1,12431E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;19/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;112369;19/08/2026;876526;17/08/2026;3;5472,01;AUTO NORTE DISTRIBUIDORA DE PECAS;1,15E+13;ARACAJU;SE;Agregado;DENILSON TAVARES;19/08/2026;XD DDA;01/09/2026;01/09/2026;;;Sim;E-MAIL;;"recebimento.se@autonorte.com.br;willams.gabriel@autonorte.com.br";;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORDESTE;RODOVIARIO;Entregue no Prazo;;1150967600;;> de 7 Dias;;;;;;8;VALINHOSRODOVIARIO LTLARACAJU;TERMACO;;;;;nce11@carvalima.com.br;1,1237E+11;0,96;AUTO NORTE;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;19/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;112783;20/08/2026;875996;17/08/2026;1;181,94;CIA BRASILEIRA DIST AUTO SA;4,26E+13;FORTALEZA;CE;Agregado;TERMACO TERM. M. CONT. SERV ACESS. LTDA;20/08/2026;TERMACO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;NORDESTE;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;7;VALINHOSRODOVIARIO LTLFORTALEZA;TERMACO;;;;;victoria.franca@termaco.com.br;1,12784E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;20/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113070;21/08/2026;877148;18/08/2026;1;270,08;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;CUIABA;MT;Agregado;CARVALIMA TRANSP. LTDA;21/08/2026;CARVALIMA;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;CENTRO-OESTE;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;6;VALINHOSRODOVIARIO LTLCUIABA;CARVALIMA;;;;;nce11@carvalima.com.br;1,13071E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113070;21/08/2026;877379;18/08/2026;1;506,75;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;CUIABA;MT;Agregado;CARVALIMA TRANSP. LTDA;21/08/2026;CARVALIMA;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;CENTRO-OESTE;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;6;VALINHOSRODOVIARIO LTLCUIABA;CARVALIMA;;;;;nce11@carvalima.com.br;1,13071E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113070;21/08/2026;877207;18/08/2026;1;315,22;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;CUIABA;MT;Agregado;CARVALIMA TRANSP. LTDA;21/08/2026;CARVALIMA;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;CENTRO-OESTE;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;6;VALINHOSRODOVIARIO LTLCUIABA;CARVALIMA;;;;;nce11@carvalima.com.br;1,13071E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113070;21/08/2026;873750;13/08/2026;1;276,32;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;CUIABA;MT;Agregado;CARVALIMA TRANSP. LTDA;21/08/2026;CARVALIMA;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;CENTRO-OESTE;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;6;VALINHOSRODOVIARIO LTLCUIABA;CARVALIMA;;;;;nce11@carvalima.com.br;1,13071E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;877350;18/08/2026;1;715,65;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;873747;13/08/2026;0;69,86;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;878017;18/08/2026;2;3874,57;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;878005;18/08/2026;1;690,76;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;877465;18/08/2026;1;89,89;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;877516;18/08/2026;1;190;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;877705;18/08/2026;2;693,76;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;873744;13/08/2026;2;50,53;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
VALINHOS;RODOVIARIO LTL;EATON LTDA;5,46E+13;Valinhos;SP;113089;21/08/2026;877554;18/08/2026;1;499,31;CIA BRASILEIRA DE DIST AUTO SA;4,26E+13;PASSO FUNDO;RS;Agregado;TRANSPORTES OURO NEGRO LTDA.;21/08/2026;OURO NEGRO;01/09/2026;01/09/2026;;;Sim;PORTAL;;https://app.brautoparts.com.br/;;01/09/2026;Agendado;;;;;;01/09/2026;;Unidade Destino;Entregue normal;;CEVA;Entregue;;;;;;Entregue no Prazo;Entregue no Prazo;Entregue;SUL;RODOVIARIO;Entregue no Prazo;;4258009200;;> de 7 Dias;;;;;;4;VALINHOSRODOVIARIO LTLPASSO FUNDO;OURO NEGRO;;;;;"pontofocal9@ouronegro.com;clientesespeciais@ouronegro.com";1,1309E+11;0,96;CIA BRASILEIRA;Agendado;16 até 20 Dias;Agendado;=> 01/03;;01/09/2026;21/08/2026;Entregue no Prazo
